,Reviews
0,"Review after 45 days,Pros:1. Performance is good but price is quite high compare to other brand 2. Compact design and easy to operate with one hand3.camera is good, don't expect macro shot 4. Battery will get full charge in 30 minsCons:1. Battery is not at all good, it gives max 6-7 hrs on continue use2. Display is not that much great 3. Many features are missing like lock screen wall paper can't be changed , it is like once you set lockscreen wallpaper and then when you change hom..."
1,It's good phone camera is good . battery 🔋 is good  super fast charging display is very good .I like itTqqq for realme
2,"Thank you Filpkart.. so fast delivery.. Awasome mobile, nice front and back camera, charging very fast 5 to 100 % in 25 minutes only. Very slim mobile... I loved it."
3,"Good battery back up, amazing display, very nice camera with 4k, super dart charger provides amazing fast charging"
4,Very nice phone ... Super performance... Excellent display .. battery could have been like atleast 4500 mah .. but overall really really good phone ❤️
5,"Camera part is just miserable. Seems like VGA camera. Display is good. But set is no t slim, looks like ply wood piece. Battery getting charged very fast with 65W charger but drains like Bahubali film water fall. Very unhappy. Redmi note series is much better which my wife is using"
6,1.Best in performance2. Best in Camera3. Very Good battery4. Best Super amoled 5. Future proof with 8 5G bandsOver all value for money. I review after 1 month using 29 Aug
7,Camera quality is super good i really love that❤️ And At all phone is really very good 🔥My suggestion Go for it✌️
8,"The phone is compact and can be used with a single hand Camera is average, pictures are over saturated and colour reproduction is simply inaccurate,Big problem with Realme phones I guess.A bit disappointed. (iqoo7 and one plus Nord 2 both have better camara and display quality)At this price point I feel it's a bit underwhelming.The design of the phone is definitely a key highlightdisplay is suboptimal with mono speakers, so maybe reconsider that before buying Overall a decent product."
9,Best mobile realme I love it' Camera is best battery performance.very nice Super displa
10,"Very handy phone.  Display is smooth. Camera is average but  modes are very good.  It's like DSLR.  Night mode is also good. Processor is superb. Battery need few updates.  Charging is magic, 30 min full on... Overall my ratingsGood design is 5/5Good performance is 5/5Camera quality is 4/5Battery is 3.5/5Battery charger speed is 5/5Must buy...  No need to think twice.   My few friends are planning to buy after looking it's camera photos."
11,Next Level Performance...Back Camera Is Excellent and Front Camera is also good but not too clear in night....Ram Expansion Works so nice... And i can feel super amoled Display ...You Should Buy this mobile ...Battery Charing is amazing....
